DATE,PLAYER_NAME,OWN_TEAM,OPP_TEAM,VENUE,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
2017-10-18,DeMarre Carroll,BRK,IND,R,27.516666666666666,.388,.375,.417,.167,7.9,26.5,17.4,9.2,1.5,0.0,13.4,20.3,85,120
2017-10-18,Jeremy Lin,BRK,IND,R,25.183333333333334,.597,.458,.167,.583,0.0,0.0,0.0,21.5,0.0,0.0,16.6,26.9,114,130
2017-10-18,Timofey Mozgov,BRK,IND,R,14.4,.500,.500,.250,.000,7.6,14.5,11.1,0.0,0.0,0.0,33.3,15.6,73,127
2017-10-18,Trevor Booker,BRK,IND,R,27.9,.765,.700,.100,.700,23.5,15.0,19.1,0.0,0.0,0.0,13.3,20.3,146,127
2017-10-18,Caris LeVert,BRK,IND,R,27.75,.389,.367,.267,.067,0.0,7.5,3.8,19.0,3.1,2.5,6.1,22.2,91,120
2017-10-18,Allen Crabbe,BRK,IND,R,26.783333333333335,.833,.800,.600,1.000,0.0,27.3,13.9,4.5,3.2,2.6,21.7,12.9,131,115
2017-10-18,Spencer Dinwiddie,BRK,IND,R,16.533333333333335,.200,.200,.200,.000,6.6,12.6,9.7,27.6,0.0,0.0,28.6,15.9,69,127
2017-10-18,Quincy Acy,BRK,IND,R,15.9,.900,.900,1.000,.000,0.0,13.1,6.7,0.0,0.0,0.0,37.5,18.9,95,127
2017-10-18,Team Totals,BRK,IND,R,240.0,.606,.543,.319,.340,25.0,69.6,47.8,48.9,6.2,2.9,15.6,100.0,115.7,123.6
2017-10-18,Myles Turner,IND,BRK,H,33.95,.711,.654,.231,.308,9.2,35.3,22.0,6.8,0.0,8.8,6.3,17.1,148,112
2017-10-18,Thaddeus Young,IND,BRK,H,33.333333333333336,.504,.469,.313,.125,15.7,19.6,17.6,10.1,2.5,4.5,10.6,20.9,114,113
